image,pred_caption_rnn,ground_truth,sentence_bleu4
225909073_25c3c33a29.jpg,a dog runs through the snow,A black and brown dog is running out of the surf . | A wet dog runs through the surf at a beach . | A wet German Shepherd dog is running out of the ocean with a ball in its mouth . | German shepherd running in ocean surf | The German Shepherd is walking in the body of water .,0.537284965911771
1267711451_e2a754b4f8.jpg,a black and white dog jumping over a hurdle,A black and white dog carrying a large stick | A black and white dog is carrying a stick in its mouth . | a black and white dog walking through the grass with a long stick in his mouth . | a dog holds a stick in its mouth . | A dog trots across the ground with a large stick in his mouth .,0.4671379777282001
2256218522_53b92bcbb2.jpg,a black and white dog jumping over a hurdle,A black and white dog is running through the sand at a beach . | A black and white dog playing in the sand . | A dog bounding across the sandy landscape in front of people watching . | A dog lunges across a beach . | Black dog running across dirt .,0.4671379777282001
1295669416_21cabf594d.jpg,a woman in a blue shirt is sitting on a bench,A girl dressed in a red and black top with black pants is sitting on a wall . | A girl in a red and black striped shirt sits on a brick wall in front of a tropical plant . | A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden . | A lady in a red and black striped shirt is sitting on a retaining wall . | A woman in semi-formal attire is sitting on a concrete wall .,0.4586115859713839
1446933195_8fe9725d62.jpg,a dog is running through a grassy field,A black puppy is biting a tree limb . | A brown puppy chewing on a tree branch . | A puppy dog is playing with a branch . | A puppy is gnawing on a plant branch in an uncut grassy area with wood and a barrel nearby . | A young brown puppy pulls a leafy branch in his teeth in a backyard .,0.089563496460826
2396025708_e4a72e2558.jpg,a man is rowing a canoe on a lake,"A man parasails in the waves , | A man rides large waves on a wind sail . | A man windsurfs in the ocean . | A person parasails on the crest of a wave . | A windsurfer in the waves of the ocean .",0.08939367162920239
2346402952_e47d0065b6.jpg,a man in a beret is standing on a mountaintop,Three people are looking into photographic equipment . | Three women are looking into a camera . | Two women are operating a laptop connected to a camera in a parking lot with a third person standing by . | Two women on a movie set reviewing film | Two women reviewing pictures they took .,0.08913289712923907
1262454669_f1caafec2d.jpg,a dog runs through a field,A girl in a white shirt is sitting on a park bench with a dog next to her . | A woman eats on a bench while a brown and white leashed dog stands next to her . | a woman is sitting on a bench with a latte in her lap and a white dog on a blue leash to her side . | A woman sits on a bench at the park with her dog in front of her . | Woman sitting on bench and holding the leash of a large white and brown dog .,0.0239963573570943
1130369873_d80a1aa59c.jpg,a dog runs through a field,"A brown dog is running through neck-deep water carrying a tennis ball . | A brown dog splashes in the water while carrying a ball in its mouth . | A brown dog swims through water outdoors with a tennis ball in its mouth . | A red dog , holding a ball , splashes through vegetation filled water . | Brown dog with tennis ball in mouth , in water and bushes .",0.0231054583884661
1732217138_aa0199ef87.jpg,a man in a black shirt is standing in front of a <unk>,"The couple eat their meal outside . | two people sit on a bench . | Two people sitting , facing away , with dreadlocks . | Two people with dreadlocks . | Two people with dreadlocks sit on a wooden bench .",0.018724372764461875
